district,week,week_of_year,year,month,cholera_cases,typhoid_cases,add_cases,total_wb_cases,latitude,longitude
Mumbai City,20-01-2020,4,2020,1,0,1,15,16,18.94,72.835
Mumbai City,27-01-2020,5,2020,1,1,2,24,28,18.94,72.835
Mumbai City,03-02-2020,6,2020,2,1,3,17,22,18.94,72.835
Mumbai City,10-02-2020,7,2020,2,0,3,19,22,18.94,72.835
Mumbai City,17-02-2020,8,2020,2,0,1,24,29,18.94,72.835
Mumbai City,24-02-2020,9,2020,2,0,4,28,32,18.94,72.835
Mumbai City,02-03-2020,10,2020,3,1,3,14,21,18.94,72.835
Mumbai City,09-03-2020,11,2020,3,1,3,17,22,18.94,72.835
Mumbai City,16-03-2020,12,2020,3,1,3,28,33,18.94,72.835
Mumbai City,23-03-2020,13,2020,3,1,3,17,22,18.94,72.835
Mumbai City,30-03-2020,14,2020,3,1,3,25,31,18.94,72.835
Mumbai City,06-04-2020,15,2020,4,0,6,37,45,18.94,72.835
Mumbai City,13-04-2020,16,2020,4,1,1,36,40,18.94,72.835
Mumbai City,20-04-2020,17,2020,4,2,7,36,46,18.94,72.835
Mumbai City,27-04-2020,18,2020,4,1,0,32,36,18.94,72.835
Mumbai City,04-05-2020,19,2020,5,2,2,35,42,18.94,72.835
Mumbai City,11-05-2020,20,2020,5,0,4,35,39,18.94,72.835
Mumbai City,18-05-2020,21,2020,5,1,3,35,39,18.94,72.835
Mumbai City,25-05-2020,22,2020,5,2,4,33,41,18.94,72.835
Mumbai City,01-06-2020,23,2020,6,2,1,62,65,18.94,72.835
Mumbai City,08-06-2020,24,2020,6,2,1,62,69,18.94,72.835
Mumbai City,15-06-2020,25,2020,6,1,1,71,77,18.94,72.835
Mumbai City,22-06-2020,26,2020,6,2,5,79,88,18.94,72.835
Mumbai City,29-06-2020,27,2020,6,2,4,60,67,18.94,72.835
Mumbai City,06-07-2020,28,2020,7,2,3,80,88,18.94,72.835
Mumbai City,13-07-2020,29,2020,7,2,2,71,77,18.94,72.835
Mumbai City,20-07-2020,30,2020,7,2,4,62,70,18.94,72.835
Mumbai City,27-07-2020,31,2020,7,1,3,67,75,18.94,72.835
Mumbai City,03-08-2020,32,2020,8,0,4,70,79,18.94,72.835
Mumbai City,10-08-2020,33,2020,8,3,5,73,88,18.94,72.835
Mumbai City,17-08-2020,34,2020,8,2,2,74,81,18.94,72.835
Mumbai City,24-08-2020,35,2020,8,3,1,80,94,18.94,72.835
Mumbai City,31-08-2020,36,2020,8,2,2,63,67,18.94,72.835
Mumbai City,07-09-2020,37,2020,9,4,4,86,96,18.94,72.835
Mumbai City,14-09-2020,38,2020,9,4,2,76,87,18.94,72.835
Mumbai City,21-09-2020,39,2020,9,2,3,71,78,18.94,72.835
Mumbai City,28-09-2020,40,2020,9,6,4,54,66,18.94,72.835
Mumbai City,05-10-2020,41,2020,10,1,4,30,41,18.94,72.835
Mumbai City,12-10-2020,42,2020,10,0,2,33,37,18.94,72.835
Mumbai City,19-10-2020,43,2020,10,2,0,24,29,18.94,72.835
Mumbai City,26-10-2020,44,2020,10,2,4,37,45,18.94,72.835
Mumbai City,02-11-2020,45,2020,11,0,1,29,31,18.94,72.835
Mumbai City,09-11-2020,46,2020,11,4,1,27,34,18.94,72.835
Mumbai City,16-11-2020,47,2020,11,2,3,18,26,18.94,72.835
Mumbai City,23-11-2020,48,2020,11,2,2,35,40,18.94,72.835
Mumbai City,30-11-2020,49,2020,11,1,3,34,42,18.94,72.835
Mumbai City,07-12-2020,50,2020,12,0,4,14,19,18.94,72.835
Mumbai City,14-12-2020,51,2020,12,0,0,21,23,18.94,72.835
Mumbai City,21-12-2020,52,2020,12,0,0,18,20,18.94,72.835
Mumbai City,28-12-2020,53,2020,12,2,1,14,20,18.94,72.835
Mumbai City,04-01-2021,1,2021,1,0,1,18,19,18.94,72.835
Mumbai City,11-01-2021,2,2021,1,0,1,22,24,18.94,72.835
Mumbai City,18-01-2021,3,2021,1,0,2,28,35,18.94,72.835
Mumbai City,25-01-2021,4,2021,1,1,5,23,29,18.94,72.835
Mumbai City,01-02-2021,5,2021,2,0,2,15,20,18.94,72.835
Mumbai City,08-02-2021,6,2021,2,0,4,11,16,18.94,72.835
Mumbai City,15-02-2021,7,2021,2,2,2,25,32,18.94,72.835
Mumbai City,22-02-2021,8,2021,2,1,3,21,26,18.94,72.835
Mumbai City,01-03-2021,9,2021,3,2,2,25,31,18.94,72.835
Mumbai City,08-03-2021,10,2021,3,0,2,16,20,18.94,72.835
Mumbai City,15-03-2021,11,2021,3,1,1,15,19,18.94,72.835
Mumbai City,22-03-2021,12,2021,3,0,2,15,22,18.94,72.835
Mumbai City,29-03-2021,13,2021,3,1,1,28,30,18.94,72.835
Mumbai City,05-04-2021,14,2021,4,2,2,38,44,18.94,72.835
Mumbai City,12-04-2021,15,2021,4,1,1,39,43,18.94,72.835
Mumbai City,19-04-2021,16,2021,4,1,9,39,51,18.94,72.835
Mumbai City,26-04-2021,17,2021,4,1,5,41,50,18.94,72.835
Mumbai City,03-05-2021,18,2021,5,4,3,32,41,18.94,72.835
Mumbai City,10-05-2021,19,2021,5,1,2,37,42,18.94,72.835
Mumbai City,17-05-2021,20,2021,5,2,1,33,40,18.94,72.835
Mumbai City,24-05-2021,21,2021,5,2,1,33,37,18.94,72.835
Mumbai City,31-05-2021,22,2021,5,0,6,34,41,18.94,72.835
Mumbai City,07-06-2021,23,2021,6,1,3,77,86,18.94,72.835
Mumbai City,14-06-2021,24,2021,6,2,5,77,86,18.94,72.835
Mumbai City,21-06-2021,25,2021,6,1,3,71,78,18.94,72.835
Mumbai City,28-06-2021,26,2021,6,1,5,56,63,18.94,72.835
Mumbai City,05-07-2021,27,2021,7,0,3,65,68,18.94,72.835
Mumbai City,12-07-2021,28,2021,7,2,5,70,77,18.94,72.835
Mumbai City,19-07-2021,29,2021,7,2,3,67,76,18.94,72.835
Mumbai City,26-07-2021,30,2021,7,3,3,75,83,18.94,72.835
Mumbai City,02-08-2021,31,2021,8,1,3,64,74,18.94,72.835
Mumbai City,09-08-2021,32,2021,8,2,6,66,78,18.94,72.835
Mumbai City,16-08-2021,33,2021,8,5,3,53,65,18.94,72.835
Mumbai City,23-08-2021,34,2021,8,2,4,68,78,18.94,72.835
Mumbai City,30-08-2021,35,2021,8,1,2,77,83,18.94,72.835
Mumbai City,06-09-2021,36,2021,9,2,5,67,76,18.94,72.835
Mumbai City,13-09-2021,37,2021,9,2,5,70,79,18.94,72.835
Mumbai City,20-09-2021,38,2021,9,3,7,67,79,18.94,72.835
Mumbai City,27-09-2021,39,2021,9,5,4,48,58,18.94,72.835
Mumbai City,04-10-2021,40,2021,10,0,3,25,29,18.94,72.835
Mumbai City,11-10-2021,41,2021,10,0,1,32,33,18.94,72.835
Mumbai City,18-10-2021,42,2021,10,0,4,22,30,18.94,72.835
Mumbai City,25-10-2021,43,2021,10,2,6,25,34,18.94,72.835
Mumbai City,01-11-2021,44,2021,11,1,3,30,38,18.94,72.835
Mumbai City,08-11-2021,45,2021,11,1,4,38,44,18.94,72.835
Mumbai City,15-11-2021,46,2021,11,2,5,24,35,18.94,72.835
Mumbai City,22-11-2021,47,2021,11,1,3,26,31,18.94,72.835
Mumbai City,29-11-2021,48,2021,11,2,3,32,40,18.94,72.835
Mumbai City,06-12-2021,49,2021,12,0,1,18,23,18.94,72.835
Mumbai City,13-12-2021,50,2021,12,1,3,21,26,18.94,72.835
Mumbai City,20-12-2021,51,2021,12,1,4,24,29,18.94,72.835
Mumbai City,27-12-2021,52,2021,12,0,4,19,25,18.94,72.835
Mumbai City,03-01-2022,1,2022,1,0,6,24,32,18.94,72.835
Mumbai City,10-01-2022,2,2022,1,1,1,17,19,18.94,72.835
Mumbai City,17-01-2022,3,2022,1,1,3,19,25,18.94,72.835
Mumbai City,24-01-2022,4,2022,1,0,1,12,16,18.94,72.835
Mumbai City,31-01-2022,5,2022,1,0,1,23,25,18.94,72.835
Mumbai City,07-02-2022,6,2022,2,0,1,16,20,18.94,72.835
Mumbai City,14-02-2022,7,2022,2,0,0,14,16,18.94,72.835
Mumbai City,21-02-2022,8,2022,2,0,4,18,25,18.94,72.835
Mumbai City,28-02-2022,9,2022,2,0,4,13,18,18.94,72.835
Mumbai City,07-03-2022,10,2022,3,1,1,25,27,18.94,72.835
Mumbai City,14-03-2022,11,2022,3,1,0,19,22,18.94,72.835
Mumbai City,21-03-2022,12,2022,3,1,3,20,25,18.94,72.835
Mumbai City,28-03-2022,13,2022,3,1,1,17,20,18.94,72.835
Mumbai City,04-04-2022,14,2022,4,3,3,24,33,18.94,72.835
Mumbai City,11-04-2022,15,2022,4,2,6,38,49,18.94,72.835
Mumbai City,18-04-2022,16,2022,4,2,5,38,47,18.94,72.835
Mumbai City,25-04-2022,17,2022,4,4,6,36,47,18.94,72.835
Mumbai City,02-05-2022,18,2022,5,1,8,35,45,18.94,72.835
Mumbai City,09-05-2022,19,2022,5,2,2,34,41,18.94,72.835
Mumbai City,16-05-2022,20,2022,5,2,4,29,37,18.94,72.835
Mumbai City,23-05-2022,21,2022,5,2,2,32,41,18.94,72.835
Mumbai City,30-05-2022,22,2022,5,3,6,34,47,18.94,72.835
Mumbai City,06-06-2022,23,2022,6,3,6,74,84,18.94,72.835
Mumbai City,13-06-2022,24,2022,6,2,3,81,89,18.94,72.835
Mumbai City,20-06-2022,25,2022,6,2,4,78,84,18.94,72.835
Mumbai City,27-06-2022,26,2022,6,6,6,72,86,18.94,72.835
Mumbai City,04-07-2022,27,2022,7,4,3,62,69,18.94,72.835
Mumbai City,11-07-2022,28,2022,7,1,4,63,68,18.94,72.835
Mumbai City,18-07-2022,29,2022,7,0,1,56,61,18.94,72.835
Mumbai City,25-07-2022,30,2022,7,0,2,69,74,18.94,72.835
Mumbai City,01-08-2022,31,2022,8,2,7,72,81,18.94,72.835
Mumbai City,08-08-2022,32,2022,8,2,3,67,72,18.94,72.835
Mumbai City,15-08-2022,33,2022,8,4,1,72,81,18.94,72.835
Mumbai City,22-08-2022,34,2022,8,1,0,67,69,18.94,72.835
Mumbai City,29-08-2022,35,2022,8,1,7,64,77,18.94,72.835
Mumbai City,05-09-2022,36,2022,9,3,3,65,74,18.94,72.835
Mumbai City,12-09-2022,37,2022,9,2,4,73,79,18.94,72.835
Mumbai City,19-09-2022,38,2022,9,3,1,59,66,18.94,72.835
Mumbai City,26-09-2022,39,2022,9,6,5,70,84,18.94,72.835
Mumbai City,03-10-2022,40,2022,10,0,0,25,28,18.94,72.835
Mumbai City,10-10-2022,41,2022,10,0,3,29,33,18.94,72.835
Mumbai City,17-10-2022,42,2022,10,0,0,27,31,18.94,72.835
Mumbai City,24-10-2022,43,2022,10,1,2,24,28,18.94,72.835
Mumbai City,31-10-2022,44,2022,10,2,3,22,29,18.94,72.835
Mumbai City,07-11-2022,45,2022,11,3,4,20,30,18.94,72.835
Mumbai City,14-11-2022,46,2022,11,1,3,27,33,18.94,72.835
Mumbai City,21-11-2022,47,2022,11,0,2,30,33,18.94,72.835
Mumbai City,28-11-2022,48,2022,11,3,6,27,38,18.94,72.835
Mumbai City,05-12-2022,49,2022,12,0,2,20,22,18.94,72.835
Mumbai City,12-12-2022,50,2022,12,0,2,12,15,18.94,72.835
Mumbai City,19-12-2022,51,2022,12,0,5,16,24,18.94,72.835
Mumbai City,26-12-2022,52,2022,12,0,4,16,24,18.94,72.835
Mumbai City,02-01-2023,1,2023,1,1,2,21,26,18.94,72.835
Mumbai City,09-01-2023,2,2023,1,0,0,16,16,18.94,72.835
Mumbai City,16-01-2023,3,2023,1,1,2,13,18,18.94,72.835
Mumbai City,23-01-2023,4,2023,1,2,3,22,30,18.94,72.835
Mumbai City,30-01-2023,5,2023,1,0,6,13,20,18.94,72.835
Mumbai City,06-02-2023,6,2023,2,0,4,18,22,18.94,72.835
Mumbai City,13-02-2023,7,2023,2,1,4,26,33,18.94,72.835
Mumbai City,20-02-2023,8,2023,2,0,4,22,28,18.94,72.835
Mumbai City,27-02-2023,9,2023,2,0,1,16,17,18.94,72.835
Mumbai City,06-03-2023,10,2023,3,0,1,14,17,18.94,72.835
Mumbai City,13-03-2023,11,2023,3,1,4,23,30,18.94,72.835
Mumbai City,20-03-2023,12,2023,3,0,2,16,20,18.94,72.835
Mumbai City,27-03-2023,13,2023,3,0,1,17,20,18.94,72.835
Mumbai City,03-04-2023,14,2023,4,3,2,30,38,18.94,72.835
Mumbai City,10-04-2023,15,2023,4,6,3,37,47,18.94,72.835
Mumbai City,17-04-2023,16,2023,4,2,5,44,51,18.94,72.835
Mumbai City,24-04-2023,17,2023,4,0,0,38,38,18.94,72.835
Mumbai City,01-05-2023,18,2023,5,2,3,41,48,18.94,72.835
Mumbai City,08-05-2023,19,2023,5,0,2,31,34,18.94,72.835
Mumbai City,15-05-2023,20,2023,5,2,10,38,51,18.94,72.835
Mumbai City,22-05-2023,21,2023,5,2,0,33,37,18.94,72.835
Mumbai City,29-05-2023,22,2023,5,1,3,35,39,18.94,72.835
Mumbai City,05-06-2023,23,2023,6,4,7,76,89,18.94,72.835
Mumbai City,12-06-2023,24,2023,6,2,2,46,55,18.94,72.835
Mumbai City,19-06-2023,25,2023,6,2,7,71,82,18.94,72.835
Mumbai City,26-06-2023,26,2023,6,0,7,72,82,18.94,72.835
Mumbai City,03-07-2023,27,2023,7,1,0,67,70,18.94,72.835
Mumbai City,10-07-2023,28,2023,7,1,0,61,65,18.94,72.835
Mumbai City,17-07-2023,29,2023,7,3,7,70,83,18.94,72.835
Mumbai City,24-07-2023,30,2023,7,2,4,65,78,18.94,72.835
Mumbai City,31-07-2023,31,2023,7,2,8,59,70,18.94,72.835
Mumbai City,07-08-2023,32,2023,8,1,6,92,103,18.94,72.835
Mumbai City,14-08-2023,33,2023,8,1,3,79,88,18.94,72.835
Mumbai City,21-08-2023,34,2023,8,1,3,72,77,18.94,72.835
Mumbai City,28-08-2023,35,2023,8,2,2,65,72,18.94,72.835
Mumbai City,04-09-2023,36,2023,9,1,4,69,79,18.94,72.835
Mumbai City,11-09-2023,37,2023,9,2,3,54,62,18.94,72.835
Mumbai City,18-09-2023,38,2023,9,2,5,63,72,18.94,72.835
Mumbai City,25-09-2023,39,2023,9,4,3,71,81,18.94,72.835
Mumbai City,02-10-2023,40,2023,10,2,0,26,31,18.94,72.835
Mumbai City,09-10-2023,41,2023,10,1,0,29,32,18.94,72.835
Mumbai City,16-10-2023,42,2023,10,0,3,23,27,18.94,72.835
Mumbai City,23-10-2023,43,2023,10,0,4,39,47,18.94,72.835
Mumbai City,30-10-2023,44,2023,10,2,1,25,30,18.94,72.835
Mumbai City,06-11-2023,45,2023,11,0,5,31,39,18.94,72.835
Mumbai City,13-11-2023,46,2023,11,1,1,24,26,18.94,72.835
Mumbai City,20-11-2023,47,2023,11,2,3,21,26,18.94,72.835
Mumbai City,27-11-2023,48,2023,11,0,4,24,29,18.94,72.835
Mumbai City,04-12-2023,49,2023,12,1,3,17,24,18.94,72.835
Mumbai City,11-12-2023,50,2023,12,0,2,25,32,18.94,72.835
Mumbai City,18-12-2023,51,2023,12,1,2,14,20,18.94,72.835
Mumbai City,25-12-2023,52,2023,12,0,0,15,16,18.94,72.835
Mumbai Suburban,07-01-2019,2,2019,1,0,6,66,79,19.12,72.87
Mumbai Suburban,14-01-2019,3,2019,1,3,6,75,88,19.12,72.87
Mumbai Suburban,21-01-2019,4,2019,1,3,7,59,75,19.12,72.87
Mumbai Suburban,28-01-2019,5,2019,1,3,7,71,87,19.12,72.87
Mumbai Suburban,04-02-2019,6,2019,2,3,5,71,87,19.12,72.87
Mumbai Suburban,11-02-2019,7,2019,2,3,13,56,78,19.12,72.87
Mumbai Suburban,18-02-2019,8,2019,2,4,8,56,74,19.12,72.87
Mumbai Suburban,25-02-2019,9,2019,2,2,2,74,84,19.12,72.87
Mumbai Suburban,04-03-2019,10,2019,3,5,8,53,72,19.12,72.87
Mumbai Suburban,11-03-2019,11,2019,3,3,16,64,93,19.12,72.87
Mumbai Suburban,18-03-2019,12,2019,3,2,9,67,81,19.12,72.87
Mumbai Suburban,25-03-2019,13,2019,3,5,8,50,74,19.12,72.87
Mumbai Suburban,01-04-2019,14,2019,4,5,12,96,116,19.12,72.87
Mumbai Suburban,08-04-2019,15,2019,4,2,14,124,144,19.12,72.87
Mumbai Suburban,15-04-2019,16,2019,4,2,18,109,133,19.12,72.87
Mumbai Suburban,22-04-2019,17,2019,4,4,16,114,139,19.12,72.87
Mumbai Suburban,29-04-2019,18,2019,4,10,10,122,150,19.12,72.87
Mumbai Suburban,06-05-2019,19,2019,5,3,15,119,143,19.12,72.87
Mumbai Suburban,13-05-2019,20,2019,5,3,15,110,134,19.12,72.87
Mumbai Suburban,20-05-2019,21,2019,5,3,11,128,147,19.12,72.87
Mumbai Suburban,27-05-2019,22,2019,5,2,12,106,129,19.12,72.87
Mumbai Suburban,03-06-2019,23,2019,6,4,12,246,267,19.12,72.87
Mumbai Suburban,10-06-2019,24,2019,6,3,14,227,252,19.12,72.87
Mumbai Suburban,17-06-2019,25,2019,6,3,16,235,262,19.12,72.87
Mumbai Suburban,24-06-2019,26,2019,6,6,14,214,242,19.12,72.87
Mumbai Suburban,01-07-2019,27,2019,7,5,12,221,245,19.12,72.87
Mumbai Suburban,08-07-2019,28,2019,7,10,10,239,268,19.12,72.87
Mumbai Suburban,15-07-2019,29,2019,7,10,7,221,251,19.12,72.87
Mumbai Suburban,22-07-2019,30,2019,7,5,8,213,246,19.12,72.87
Mumbai Suburban,29-07-2019,31,2019,7,4,9,211,232,19.12,72.87
Mumbai Suburban,05-08-2019,32,2019,8,9,18,251,286,19.12,72.87
Mumbai Suburban,12-08-2019,33,2019,8,6,12,239,264,19.12,72.87
Mumbai Suburban,19-08-2019,34,2019,8,4,11,243,272,19.12,72.87
Mumbai Suburban,26-08-2019,35,2019,8,11,10,214,240,19.12,72.87
Mumbai Suburban,02-09-2019,36,2019,9,9,14,252,282,19.12,72.87
Mumbai Suburban,09-09-2019,37,2019,9,4,14,205,230,19.12,72.87
Mumbai Suburban,16-09-2019,38,2019,9,3,13,236,261,19.12,72.87
Mumbai Suburban,23-09-2019,39,2019,9,6,18,220,250,19.12,72.87
Mumbai Suburban,30-09-2019,40,2019,9,6,8,237,256,19.12,72.87
Mumbai Suburban,07-10-2019,41,2019,10,0,9,81,98,19.12,72.87
Mumbai Suburban,14-10-2019,42,2019,10,2,14,107,128,19.12,72.87
Mumbai Suburban,21-10-2019,43,2019,10,4,8,91,110,19.12,72.87
Mumbai Suburban,28-10-2019,44,2019,10,3,7,84,95,19.12,72.87
Mumbai Suburban,04-11-2019,45,2019,11,1,7,102,114,19.12,72.87
Mumbai Suburban,11-11-2019,46,2019,11,3,10,82,100,19.12,72.87
Mumbai Suburban,18-11-2019,47,2019,11,3,8,85,101,19.12,72.87
Mumbai Suburban,25-11-2019,48,2019,11,1,6,87,104,19.12,72.87
Mumbai Suburban,02-12-2019,49,2019,12,1,9,58,73,19.12,72.87
Mumbai Suburban,09-12-2019,50,2019,12,3,5,72,90,19.12,72.87
Mumbai Suburban,16-12-2019,51,2019,12,1,6,70,85,19.12,72.87
Mumbai Suburban,23-12-2019,52,2019,12,3,8,75,95,19.12,72.87
Mumbai Suburban,30-12-2019,1,2019,12,3,6,65,82,19.12,72.87
Mumbai Suburban,06-01-2020,2,2020,1,1,8,63,81,19.12,72.87
Mumbai Suburban,13-01-2020,3,2020,1,3,8,53,70,19.12,72.87
Mumbai Suburban,20-01-2020,4,2020,1,1,15,65,87,19.12,72.87
Mumbai Suburban,27-01-2020,5,2020,1,1,4,64,73,19.12,72.87
Mumbai Suburban,03-02-2020,6,2020,2,0,7,55,67,19.12,72.87
Mumbai Suburban,10-02-2020,7,2020,2,1,8,65,77,19.12,72.87
Mumbai Suburban,17-02-2020,8,2020,2,2,7,57,72,19.12,72.87
Mumbai Suburban,24-02-2020,9,2020,2,1,11,69,88,19.12,72.87
Mumbai Suburban,02-03-2020,10,2020,3,2,10,60,79,19.12,72.87
Mumbai Suburban,09-03-2020,11,2020,3,1,7,71,85,19.12,72.87
Mumbai Suburban,16-03-2020,12,2020,3,1,6,63,76,19.12,72.87
Mumbai Suburban,23-03-2020,13,2020,3,5,7,65,81,19.12,72.87
Mumbai Suburban,30-03-2020,14,2020,3,1,8,62,79,19.12,72.87
Mumbai Suburban,06-04-2020,15,2020,4,3,19,120,152,19.12,72.87
Mumbai Suburban,13-04-2020,16,2020,4,5,15,114,140,19.12,72.87
Mumbai Suburban,20-04-2020,17,2020,4,8,12,114,142,19.12,72.87
Mumbai Suburban,27-04-2020,18,2020,4,7,12,128,158,19.12,72.87
Mumbai Suburban,04-05-2020,19,2020,5,3,17,127,154,19.12,72.87
Mumbai Suburban,11-05-2020,20,2020,5,6,13,122,148,19.12,72.87
Mumbai Suburban,18-05-2020,21,2020,5,4,13,115,138,19.12,72.87
Mumbai Suburban,25-05-2020,22,2020,5,5,18,112,144,19.12,72.87
Mumbai Suburban,01-06-2020,23,2020,6,3,15,202,229,19.12,72.87
Mumbai Suburban,08-06-2020,24,2020,6,4,11,215,241,19.12,72.87
Mumbai Suburban,15-06-2020,25,2020,6,5,11,238,262,19.12,72.87
Mumbai Suburban,22-06-2020,26,2020,6,5,12,192,214,19.12,72.87
Mumbai Suburban,29-06-2020,27,2020,6,5,20,241,282,19.12,72.87
Mumbai Suburban,06-07-2020,28,2020,7,7,10,236,258,19.12,72.87
Mumbai Suburban,13-07-2020,29,2020,7,6,19,234,274,19.12,72.87
Mumbai Suburban,20-07-2020,30,2020,7,9,10,228,252,19.12,72.87
Mumbai Suburban,27-07-2020,31,2020,7,9,10,214,238,19.12,72.87
Mumbai Suburban,03-08-2020,32,2020,8,3,10,208,231,19.12,72.87
Mumbai Suburban,10-08-2020,33,2020,8,6,11,262,295,19.12,72.87
Mumbai Suburban,17-08-2020,34,2020,8,9,10,221,254,19.12,72.87
Mumbai Suburban,24-08-2020,35,2020,8,7,9,239,265,19.12,72.87
Mumbai Suburban,31-08-2020,36,2020,8,9,16,219,252,19.12,72.87
Mumbai Suburban,07-09-2020,37,2020,9,8,10,225,255,19.12,72.87
Mumbai Suburban,14-09-2020,38,2020,9,5,11,220,244,19.12,72.87
Mumbai Suburban,21-09-2020,39,2020,9,5,13,222,246,19.12,72.87
Mumbai Suburban,28-09-2020,40,2020,9,3,16,186,213,19.12,72.87
Mumbai Suburban,05-10-2020,41,2020,10,0,7,92,107,19.12,72.87
Mumbai Suburban,12-10-2020,42,2020,10,4,5,115,130,19.12,72.87
Mumbai Suburban,19-10-2020,43,2020,10,6,9,92,112,19.12,72.87
Mumbai Suburban,26-10-2020,44,2020,10,3,2,73,88,19.12,72.87
Mumbai Suburban,02-11-2020,45,2020,11,4,10,98,120,19.12,72.87
Mumbai Suburban,09-11-2020,46,2020,11,2,5,91,105,19.12,72.87
Mumbai Suburban,16-11-2020,47,2020,11,2,14,101,123,19.12,72.87
Mumbai Suburban,23-11-2020,48,2020,11,2,6,97,112,19.12,72.87
Mumbai Suburban,30-11-2020,49,2020,11,4,4,77,89,19.12,72.87
Mumbai Suburban,07-12-2020,50,2020,12,4,12,58,78,19.12,72.87
Mumbai Suburban,14-12-2020,51,2020,12,1,7,65,76,19.12,72.87
Mumbai Suburban,21-12-2020,52,2020,12,2,6,64,80,19.12,72.87
Mumbai Suburban,28-12-2020,53,2020,12,3,11,56,72,19.12,72.87
Mumbai Suburban,04-01-2021,1,2021,1,4,8,74,96,19.12,72.87
Mumbai Suburban,11-01-2021,2,2021,1,1,5,55,70,19.12,72.87
Mumbai Suburban,18-01-2021,3,2021,1,1,7,49,62,19.12,72.87
