district,date,week,year,month,rainfall_mm,rainfall_anomaly_pct,temperature_c,humidity_pct,monsoon_flag,flood_alert,region
Mumbai City,2019-08-05,32,2019,8,131.86,0.95,26.9,99.0,1,0,coastal
Mumbai City,2019-08-12,33,2019,8,130.57,-0.04,25.1,92.3,1,0,coastal
Mumbai City,2019-08-19,34,2019,8,190.5,45.81,28.4,93.4,1,0,coastal
Mumbai City,2019-08-26,35,2019,8,105.3,-19.37,27.8,90.5,1,0,coastal
Mumbai City,2019-09-02,36,2019,9,135.13,36.33,26.7,93.2,1,0,coastal
Mumbai City,2019-09-09,37,2019,9,128.61,29.76,27.3,85.6,1,0,coastal
Mumbai City,2019-09-16,38,2019,9,139.7,40.94,26.7,89.4,1,0,coastal
Mumbai City,2019-09-23,39,2019,9,108.23,9.22,27.8,88.8,1,0,coastal
Mumbai City,2019-09-30,40,2019,9,78.78,-20.48,28.0,92.2,1,0,coastal
Mumbai City,2019-10-07,41,2019,10,39.77,28.08,26.8,61.0,0,0,coastal
Mumbai City,2019-10-14,42,2019,10,35.19,13.38,25.7,67.5,0,0,coastal
Mumbai City,2019-10-21,43,2019,10,42.43,36.64,27.8,65.8,0,0,coastal
Mumbai City,2019-10-28,44,2019,10,40.24,29.61,26.1,59.2,0,0,coastal
Mumbai City,2019-11-04,45,2019,11,8.14,-9.53,26.6,63.6,0,0,coastal
Mumbai City,2019-11-11,46,2019,11,5.18,-42.09,25.7,63.4,0,0,coastal
Mumbai City,2019-11-18,47,2019,11,9.56,6.01,26.3,75.4,0,0,coastal
Mumbai City,2019-11-25,48,2019,11,6.53,-27.26,27.6,65.5,0,0,coastal
Mumbai City,2019-12-02,49,2019,12,3.03,48.7,25.5,65.2,0,0,coastal
Mumbai City,2019-12-09,50,2019,12,2.55,25.99,23.3,62.5,0,0,coastal
Mumbai City,2019-12-16,51,2019,12,2.41,19.21,23.4,65.3,0,0,coastal
Mumbai City,2019-12-23,52,2019,12,1.63,-17.81,25.5,67.4,0,0,coastal
Mumbai City,2019-12-30,1,2019,12,3.17,55.76,25.4,59.5,0,0,coastal
Mumbai City,2020-01-06,2,2020,1,1.74,-29.29,22.5,66.9,0,0,coastal
Mumbai City,2020-01-13,3,2020,1,1.82,-26.41,24.1,64.2,0,0,coastal
Mumbai City,2020-01-20,4,2020,1,1.1,-53.91,24.4,69.3,0,0,coastal
Mumbai City,2020-01-27,5,2020,1,1.6,-34.83,23.7,68.6,0,0,coastal
Mumbai City,2020-02-03,6,2020,2,0.95,-34.36,22.9,67.2,0,0,coastal
Mumbai City,2020-02-10,7,2020,2,1.84,21.08,23.2,61.2,0,0,coastal
Mumbai City,2020-02-17,8,2020,2,1.48,-1.26,22.5,64.5,0,0,coastal
Mumbai City,2020-02-24,9,2020,2,0.76,-46.22,21.9,67.9,0,0,coastal
Mumbai City,2020-03-02,10,2020,3,1.95,-2.51,23.6,60.8,0,0,coastal
Mumbai City,2020-03-09,11,2020,3,2.64,30.48,24.6,75.7,0,0,coastal
Mumbai City,2020-03-16,12,2020,3,1.21,-37.61,22.4,66.8,0,0,coastal
Mumbai City,2020-03-23,13,2020,3,1.69,-14.87,23.8,59.6,0,0,coastal
Mumbai City,2020-03-30,14,2020,3,1.8,-9.61,23.3,60.2,0,0,coastal
Mumbai City,2020-04-06,15,2020,4,2.05,-30.86,23.2,39.7,0,0,coastal
Mumbai City,2020-04-13,16,2020,4,2.57,-13.81,24.8,41.4,0,0,coastal
Mumbai City,2020-04-20,17,2020,4,2.07,-29.98,23.7,37.8,0,0,coastal
Mumbai City,2020-04-27,18,2020,4,1.5,-48.35,22.4,38.0,0,0,coastal
Mumbai City,2020-05-04,19,2020,5,5.79,-3.59,25.4,28.7,0,0,coastal
Mumbai City,2020-05-11,20,2020,5,6.45,7.28,25.2,38.8,0,0,coastal
Mumbai City,2020-05-18,21,2020,5,6.5,8.03,24.8,28.5,0,0,coastal
Mumbai City,2020-05-25,22,2020,5,6.22,3.48,26.3,36.6,0,0,coastal
Mumbai City,2020-06-01,23,2020,6,62.76,-11.67,27.6,99.0,1,0,coastal
Mumbai City,2020-06-08,24,2020,6,105.26,48.05,26.8,91.9,1,0,coastal
Mumbai City,2020-06-15,25,2020,6,57.41,-19.18,23.9,95.7,1,0,coastal
Mumbai City,2020-06-22,26,2020,6,46.01,-35.2,24.9,93.3,1,0,coastal
Mumbai City,2020-06-29,27,2020,6,122.74,72.61,27.1,86.9,1,0,coastal
Mumbai City,2020-07-06,28,2020,7,179.73,25.99,27.3,81.5,1,0,coastal
Mumbai City,2020-07-13,29,2020,7,76.08,-46.63,26.3,89.9,1,0,coastal
Mumbai City,2020-07-20,30,2020,7,166.91,17.01,26.4,93.2,1,0,coastal
Mumbai City,2020-07-27,31,2020,7,198.63,39.23,26.7,80.9,1,0,coastal
Mumbai City,2020-08-03,32,2020,8,149.38,14.35,29.2,85.7,1,0,coastal
Mumbai City,2020-08-10,33,2020,8,192.97,47.7,26.3,87.3,1,0,coastal
Mumbai City,2020-08-17,34,2020,8,173.14,32.52,26.7,81.1,1,0,coastal
Mumbai City,2020-08-24,35,2020,8,147.89,13.21,25.5,92.7,1,0,coastal
Mumbai City,2020-08-31,36,2020,8,151.97,16.34,28.8,83.6,1,0,coastal
Mumbai City,2020-09-07,37,2020,9,58.01,-41.42,26.9,85.9,1,0,coastal
Mumbai City,2020-09-14,38,2020,9,31.98,-67.66,26.5,88.2,1,0,coastal
Mumbai City,2020-09-21,39,2020,9,105.87,6.83,27.1,87.0,1,0,coastal
Mumbai City,2020-09-28,40,2020,9,142.78,44.04,26.4,84.9,1,0,coastal
Mumbai City,2020-10-05,41,2020,10,25.41,-18.05,27.1,62.6,0,0,coastal
Mumbai City,2020-10-12,42,2020,10,33.39,7.58,27.1,61.8,0,0,coastal
Mumbai City,2020-10-19,43,2020,10,22.44,-27.59,28.7,65.6,0,0,coastal
Mumbai City,2020-10-26,44,2020,10,0.0,-99.68,25.6,68.0,0,0,coastal
Mumbai City,2020-11-02,45,2020,11,7.86,-12.58,25.8,68.6,0,0,coastal
Mumbai City,2020-11-09,46,2020,11,5.49,-38.59,26.0,64.1,0,0,coastal
Mumbai City,2020-11-16,47,2020,11,8.74,-2.99,25.4,63.4,0,0,coastal
Mumbai City,2020-11-23,48,2020,11,9.47,5.06,24.7,62.1,0,0,coastal
Mumbai City,2020-11-30,49,2020,11,13.04,44.23,26.5,69.4,0,0,coastal
Mumbai City,2020-12-07,50,2020,12,1.82,-8.82,25.2,60.9,0,0,coastal
Mumbai City,2020-12-14,51,2020,12,1.97,-1.6,25.3,69.2,0,0,coastal
Mumbai City,2020-12-21,52,2020,12,1.6,-19.34,25.0,78.3,0,0,coastal
Mumbai City,2020-12-28,53,2020,12,1.81,-9.19,24.0,67.7,0,0,coastal
Mumbai City,2021-01-04,1,2021,1,3.24,28.29,23.0,67.1,0,0,coastal
Mumbai City,2021-01-11,2,2021,1,3.99,57.25,23.2,71.3,0,0,coastal
Mumbai City,2021-01-18,3,2021,1,2.54,1.47,23.1,65.7,0,0,coastal
Mumbai City,2021-01-25,4,2021,1,3.74,47.73,25.0,66.6,0,0,coastal
Mumbai City,2021-02-01,5,2021,2,1.27,-14.69,21.9,63.3,0,0,coastal
Mumbai City,2021-02-08,6,2021,2,2.15,40.37,22.5,69.9,0,0,coastal
Mumbai City,2021-02-15,7,2021,2,2.86,84.76,21.9,65.3,0,0,coastal
Mumbai City,2021-02-22,8,2021,2,2.17,41.66,24.0,66.1,0,0,coastal
Mumbai City,2021-03-01,9,2021,3,2.4,19.08,22.2,63.0,0,0,coastal
Mumbai City,2021-03-08,10,2021,3,2.91,43.14,25.7,59.4,0,0,coastal
Mumbai City,2021-03-15,11,2021,3,3.36,64.85,25.2,66.0,0,0,coastal
Mumbai City,2021-03-22,12,2021,3,1.93,-3.36,25.7,64.6,0,0,coastal
Mumbai City,2021-03-29,13,2021,3,2.81,38.68,23.1,57.8,0,0,coastal
Mumbai City,2021-04-05,14,2021,4,4.43,46.01,25.5,37.3,0,0,coastal
Mumbai City,2021-04-12,15,2021,4,2.6,-13.02,25.9,38.6,0,0,coastal
Mumbai City,2021-04-19,16,2021,4,6.34,107.43,24.7,26.5,0,0,coastal
Mumbai City,2021-04-26,17,2021,4,3.26,8.38,24.5,35.6,0,0,coastal
Mumbai City,2021-05-03,18,2021,5,8.85,46.65,25.2,40.3,0,0,coastal
Mumbai City,2021-05-10,19,2021,5,7.45,23.72,23.3,34.8,0,0,coastal
Mumbai City,2021-05-17,20,2021,5,6.14,2.13,26.0,40.2,0,0,coastal
Mumbai City,2021-05-24,21,2021,5,4.98,-16.74,25.6,43.2,0,0,coastal
Mumbai City,2021-05-31,22,2021,5,6.63,10.28,25.1,44.3,0,0,coastal
Mumbai City,2021-06-07,23,2021,6,100.57,41.46,28.2,84.6,1,0,coastal
Mumbai City,2021-06-14,24,2021,6,77.58,9.15,25.3,90.6,1,0,coastal
Mumbai City,2021-06-21,25,2021,6,71.03,-0.05,25.4,88.7,1,0,coastal
Mumbai City,2021-06-28,26,2021,6,96.64,35.94,26.4,88.6,1,0,coastal
Mumbai City,2021-07-05,27,2021,7,254.49,78.37,28.1,87.8,1,0,coastal
Mumbai City,2021-07-12,28,2021,7,208.57,46.19,27.9,89.6,1,0,coastal
Mumbai City,2021-07-19,29,2021,7,138.97,-2.57,24.7,97.1,1,0,coastal
Mumbai City,2021-07-26,30,2021,7,178.78,25.32,27.4,83.6,1,0,coastal
Mumbai City,2021-08-02,31,2021,8,151.46,15.94,26.0,83.0,1,0,coastal
Mumbai City,2021-08-09,32,2021,8,177.07,35.53,27.4,88.6,1,0,coastal
Mumbai City,2021-08-16,33,2021,8,166.55,27.48,27.6,74.4,1,0,coastal
Mumbai City,2021-08-23,34,2021,8,198.15,51.66,29.7,80.6,1,0,coastal
Mumbai City,2021-08-30,35,2021,8,74.71,-42.77,25.0,93.0,1,0,coastal
Mumbai City,2021-09-06,36,2021,9,81.98,-17.25,27.1,90.5,1,0,coastal
Mumbai City,2021-09-13,37,2021,9,116.74,17.79,26.3,86.4,1,0,coastal
Mumbai City,2021-09-20,38,2021,9,77.69,-21.57,27.8,93.5,1,0,coastal
Mumbai City,2021-09-27,39,2021,9,129.96,31.12,25.8,87.7,1,0,coastal
Mumbai City,2021-10-04,40,2021,10,36.29,16.89,25.7,65.1,0,0,coastal
Mumbai City,2021-10-11,41,2021,10,35.37,13.95,27.8,60.4,0,0,coastal
Mumbai City,2021-10-18,42,2021,10,36.08,16.24,25.4,64.7,0,0,coastal
Mumbai City,2021-10-25,43,2021,10,41.25,32.85,26.1,69.4,0,0,coastal
Mumbai City,2021-11-01,44,2021,11,16.42,81.35,21.9,69.4,0,0,coastal
Mumbai City,2021-11-08,45,2021,11,11.02,22.1,25.8,63.7,0,0,coastal
Mumbai City,2021-11-15,46,2021,11,13.09,44.8,25.9,69.0,0,0,coastal
Mumbai City,2021-11-22,47,2021,11,11.22,24.24,26.5,68.9,0,0,coastal
Mumbai City,2021-11-29,48,2021,11,10.77,19.32,26.7,67.5,0,0,coastal
Mumbai City,2021-12-06,49,2021,12,2.61,29.05,24.2,60.8,0,0,coastal
Mumbai City,2021-12-13,50,2021,12,2.75,35.7,25.8,63.4,0,0,coastal
Mumbai City,2021-12-20,51,2021,12,2.99,46.89,24.2,64.4,0,0,coastal
Mumbai City,2021-12-27,52,2021,12,2.08,3.52,24.2,61.0,0,0,coastal
Mumbai City,2022-01-03,1,2022,1,5.71,123.07,25.4,67.4,0,0,coastal
Mumbai City,2022-01-10,2,2022,1,2.36,-5.64,22.7,57.4,0,0,coastal
Mumbai City,2022-01-17,3,2022,1,2.56,2.26,25.1,59.7,0,0,coastal
Mumbai City,2022-01-24,4,2022,1,3.2,26.75,24.3,65.7,0,0,coastal
Mumbai City,2022-01-31,5,2022,1,5.03,96.96,24.4,66.1,0,0,coastal
Mumbai City,2022-02-07,6,2022,2,1.32,-11.6,22.2,59.5,0,0,coastal
Mumbai City,2022-02-14,7,2022,2,0.93,-35.66,22.7,67.6,0,0,coastal
Mumbai City,2022-02-21,8,2022,2,0.64,-53.75,22.8,61.0,0,0,coastal
Mumbai City,2022-02-28,9,2022,2,2.03,33.01,22.5,69.2,0,0,coastal
Mumbai City,2022-03-07,10,2022,3,1.75,-12.02,24.6,65.0,0,0,coastal
Mumbai City,2022-03-14,11,2022,3,2.5,23.55,25.2,74.3,0,0,coastal
Mumbai City,2022-03-21,12,2022,3,2.25,11.65,24.0,72.1,0,0,coastal
Mumbai City,2022-03-28,13,2022,3,1.69,-15.0,24.6,62.1,0,0,coastal
Mumbai City,2022-04-04,14,2022,4,3.1,2.98,24.1,38.3,0,0,coastal
Mumbai City,2022-04-11,15,2022,4,3.01,0.07,23.5,28.7,0,0,coastal
Mumbai City,2022-04-18,16,2022,4,3.38,12.17,26.3,25.7,0,0,coastal
Mumbai City,2022-04-25,17,2022,4,2.96,-1.46,24.3,39.5,0,0,coastal
Mumbai City,2022-05-02,18,2022,5,4.46,-25.29,25.8,28.7,0,0,coastal
Mumbai City,2022-05-09,19,2022,5,9.0,49.06,24.7,40.8,0,0,coastal
Mumbai City,2022-05-16,20,2022,5,6.6,9.76,24.8,38.0,0,0,coastal
Mumbai City,2022-05-23,21,2022,5,8.07,33.85,27.9,37.8,0,0,coastal
Mumbai City,2022-05-30,22,2022,5,7.87,30.56,26.8,18.1,0,0,coastal
Mumbai City,2022-06-06,23,2022,6,86.33,21.44,27.7,89.2,1,0,coastal
Mumbai City,2022-06-13,24,2022,6,64.11,-9.77,25.6,87.8,1,0,coastal
Mumbai City,2022-06-20,25,2022,6,73.43,3.33,26.7,88.0,1,0,coastal
Mumbai City,2022-06-27,26,2022,6,92.47,30.07,24.9,92.0,1,0,coastal
Mumbai City,2022-07-04,27,2022,7,217.35,52.35,24.9,85.8,1,0,coastal
Mumbai City,2022-07-11,28,2022,7,196.22,37.55,27.4,82.2,1,0,coastal
Mumbai City,2022-07-18,29,2022,7,183.68,28.76,24.6,90.5,1,0,coastal
Mumbai City,2022-07-25,30,2022,7,221.28,55.11,26.8,92.0,1,0,coastal
Mumbai City,2022-08-01,31,2022,8,156.3,19.65,26.1,85.2,1,0,coastal
Mumbai City,2022-08-08,32,2022,8,126.87,-2.87,26.7,93.8,1,0,coastal
Mumbai City,2022-08-15,33,2022,8,209.16,60.08,28.0,95.4,1,0,coastal
Mumbai City,2022-08-22,34,2022,8,153.76,17.7,23.8,88.0,1,0,coastal
Mumbai City,2022-08-29,35,2022,8,105.65,-19.1,27.8,87.3,1,0,coastal
Mumbai City,2022-09-05,36,2022,9,117.88,18.95,26.9,85.2,1,0,coastal
Mumbai City,2022-09-12,37,2022,9,77.9,-21.36,26.3,90.2,1,0,coastal
Mumbai City,2022-09-19,38,2022,9,154.71,56.07,27.4,99.0,1,0,coastal
Mumbai City,2022-09-26,39,2022,9,129.08,30.23,27.1,93.7,1,0,coastal
Mumbai City,2022-10-03,40,2022,10,18.01,-41.83,25.7,68.1,0,0,coastal
Mumbai City,2022-10-10,41,2022,10,25.65,-17.28,28.2,62.5,0,0,coastal
Mumbai City,2022-10-17,42,2022,10,42.4,36.53,26.6,74.7,0,0,coastal
Mumbai City,2022-10-24,43,2022,10,41.53,33.75,27.2,63.2,0,0,coastal
Mumbai City,2022-10-31,44,2022,10,27.34,-11.85,26.5,67.8,0,0,coastal
Mumbai City,2022-11-07,45,2022,11,10.8,19.66,24.1,63.3,0,0,coastal
Mumbai City,2022-11-14,46,2022,11,10.75,19.16,24.7,67.0,0,0,coastal
Mumbai City,2022-11-21,47,2022,11,8.34,-7.31,26.5,63.9,0,0,coastal
Mumbai City,2022-11-28,48,2022,11,9.88,9.58,26.0,67.6,0,0,coastal
Mumbai City,2022-12-05,49,2022,12,2.76,36.06,23.6,64.9,0,0,coastal
Mumbai City,2022-12-12,50,2022,12,2.26,12.29,28.7,69.5,0,0,coastal
Mumbai City,2022-12-19,51,2022,12,2.25,11.69,23.5,64.1,0,0,coastal
Mumbai City,2022-12-26,52,2022,12,3.78,84.66,23.2,64.0,0,0,coastal
Mumbai City,2023-01-02,1,2023,1,4.11,61.75,26.7,64.0,0,0,coastal
Mumbai City,2023-01-09,2,2023,1,3.5,38.27,25.2,68.5,0,0,coastal
Mumbai City,2023-01-16,3,2023,1,3.23,27.86,25.7,71.0,0,0,coastal
Mumbai City,2023-01-23,4,2023,1,3.39,34.11,26.1,65.9,0,0,coastal
Mumbai City,2023-01-30,5,2023,1,3.16,25.16,23.8,53.2,0,0,coastal
Mumbai City,2023-02-06,6,2023,2,1.91,25.4,23.2,59.2,0,0,coastal
Mumbai City,2023-02-13,7,2023,2,1.42,-4.99,24.2,58.4,0,0,coastal
Mumbai City,2023-02-20,8,2023,2,1.76,16.4,24.0,59.5,0,0,coastal
Mumbai City,2023-02-27,9,2023,2,1.82,20.0,23.5,69.4,0,0,coastal
Mumbai City,2023-03-06,10,2023,3,2.57,27.25,24.6,62.6,0,0,coastal
Mumbai City,2023-03-13,11,2023,3,2.66,31.47,25.0,58.1,0,0,coastal
Mumbai City,2023-03-20,12,2023,3,2.69,32.57,27.3,62.3,0,0,coastal
Mumbai City,2023-03-27,13,2023,3,2.48,22.73,23.1,71.2,0,0,coastal
Mumbai City,2023-04-03,14,2023,4,4.07,34.52,24.9,39.0,0,0,coastal
Mumbai City,2023-04-10,15,2023,4,4.54,49.55,23.6,37.3,0,0,coastal
Mumbai City,2023-04-17,16,2023,4,3.92,29.56,25.0,35.0,0,0,coastal
Mumbai City,2023-04-24,17,2023,4,4.4,44.91,23.3,32.5,0,0,coastal
Mumbai City,2023-05-01,18,2023,5,7.34,21.84,25.2,34.6,0,0,coastal
Mumbai City,2023-05-08,19,2023,5,6.39,6.26,27.1,35.0,0,0,coastal
Mumbai City,2023-05-15,20,2023,5,10.74,77.47,25.8,40.5,0,0,coastal
Mumbai City,2023-05-22,21,2023,5,8.28,37.2,27.6,33.4,0,0,coastal
Mumbai City,2023-05-29,22,2023,5,7.56,25.46,24.3,27.9,0,0,coastal
Mumbai City,2023-06-05,23,2023,6,105.37,48.2,25.6,93.0,1,0,coastal
Mumbai City,2023-06-12,24,2023,6,82.98,16.74,27.6,92.1,1,0,coastal
Mumbai City,2023-06-19,25,2023,6,23.34,-67.06,26.1,82.8,1,0,coastal
Mumbai City,2023-06-26,26,2023,6,6.14,-91.23,25.7,79.8,1,0,coastal
Mumbai City,2023-07-03,27,2023,7,166.57,16.77,26.0,90.5,1,0,coastal
Mumbai City,2023-07-10,28,2023,7,172.75,21.1,28.0,92.3,1,0,coastal
Mumbai City,2023-07-17,29,2023,7,210.27,47.39,27.2,86.3,1,0,coastal
Mumbai City,2023-07-24,30,2023,7,143.79,0.81,26.0,87.0,1,0,coastal
Mumbai City,2023-07-31,31,2023,7,212.2,48.74,28.0,80.4,1,0,coastal
Mumbai City,2023-08-07,32,2023,8,162.99,24.76,27.1,82.7,1,0,coastal
Mumbai City,2023-08-14,33,2023,8,188.88,44.57,29.3,85.8,1,0,coastal
Mumbai City,2023-08-21,34,2023,8,152.48,16.72,27.6,99.0,1,0,coastal
Mumbai City,2023-08-28,35,2023,8,195.11,49.34,26.2,84.2,1,0,coastal
Mumbai City,2023-09-04,36,2023,9,117.0,18.05,26.8,91.8,1,0,coastal
Mumbai City,2023-09-11,37,2023,9,116.97,18.03,27.1,84.2,1,0,coastal
Mumbai City,2023-09-18,38,2023,9,111.93,12.95,27.5,98.9,1,0,coastal
Mumbai City,2023-09-25,39,2023,9,115.63,16.67,27.2,85.5,1,0,coastal
Mumbai City,2023-10-02,40,2023,10,28.16,-9.2,27.1,67.4,0,0,coastal
Mumbai City,2023-10-09,41,2023,10,22.39,-27.75,24.8,69.8,0,0,coastal
Mumbai City,2023-10-16,42,2023,10,28.27,-8.86,26.6,66.5,0,0,coastal
Mumbai City,2023-10-23,43,2023,10,38.42,23.75,26.2,68.2,0,0,coastal
Mumbai City,2023-10-30,44,2023,10,49.56,59.54,26.5,58.0,0,0,coastal
Mumbai City,2023-11-06,45,2023,11,7.06,-21.37,27.5,61.1,0,0,coastal
Mumbai City,2023-11-13,46,2023,11,13.63,50.7,24.2,58.7,0,0,coastal
Mumbai City,2023-11-20,47,2023,11,12.0,32.84,25.0,71.6,0,0,coastal
Mumbai City,2023-11-27,48,2023,11,10.56,16.99,24.8,58.7,0,0,coastal
Mumbai City,2023-12-04,49,2023,12,3.67,79.3,24.8,64.5,0,0,coastal
Mumbai City,2023-12-11,50,2023,12,2.21,9.85,25.3,66.1,0,0,coastal
Mumbai City,2023-12-18,51,2023,12,2.38,18.19,22.9,68.7,0,0,coastal
Mumbai City,2023-12-25,52,2023,12,2.18,8.64,26.3,73.2,0,0,coastal
Mumbai Suburban,2019-01-07,2,2019,1,3.08,11.09,24.2,63.4,0,0,coastal
Mumbai Suburban,2019-01-14,3,2019,1,1.82,-32.88,25.8,63.0,0,0,coastal
Mumbai Suburban,2019-01-21,4,2019,1,3.3,18.82,22.0,59.5,0,0,coastal
Mumbai Suburban,2019-01-28,5,2019,1,0.92,-64.37,24.2,60.5,0,0,coastal
Mumbai Suburban,2019-02-04,6,2019,2,1.58,-4.27,23.2,57.3,0,0,coastal
Mumbai Suburban,2019-02-11,7,2019,2,1.53,-6.86,23.3,65.6,0,0,coastal
Mumbai Suburban,2019-02-18,8,2019,2,0.59,-60.83,23.5,59.3,0,0,coastal
Mumbai Suburban,2019-02-25,9,2019,2,1.96,17.53,23.2,71.9,0,0,coastal
Mumbai Suburban,2019-03-04,10,2019,3,2.47,11.4,23.5,59.9,0,0,coastal
Mumbai Suburban,2019-03-11,11,2019,3,2.75,23.41,22.3,61.2,0,0,coastal
Mumbai Suburban,2019-03-18,12,2019,3,0.17,-88.5,22.2,69.7,0,0,coastal
Mumbai Suburban,2019-03-25,13,2019,3,1.8,-17.71,23.6,60.3,0,0,coastal
Mumbai Suburban,2019-04-01,14,2019,4,4.9,46.6,24.5,35.1,0,0,coastal
Mumbai Suburban,2019-04-08,15,2019,4,2.79,-15.33,27.4,28.2,0,0,coastal
Mumbai Suburban,2019-04-15,16,2019,4,3.08,-6.85,26.7,34.2,0,0,coastal
Mumbai Suburban,2019-04-22,17,2019,4,4.22,26.56,25.8,37.7,0,0,coastal
Mumbai Suburban,2019-04-29,18,2019,4,4.98,48.93,25.9,25.3,0,0,coastal
Mumbai Suburban,2019-05-06,19,2019,5,9.1,36.92,25.4,37.5,0,0,coastal
Mumbai Suburban,2019-05-13,20,2019,5,4.69,-28.74,26.7,32.8,0,0,coastal
Mumbai Suburban,2019-05-20,21,2019,5,6.32,-4.41,26.9,32.2,0,0,coastal
Mumbai Suburban,2019-05-27,22,2019,5,7.43,12.01,26.0,36.3,0,0,coastal
Mumbai Suburban,2019-06-03,23,2019,6,78.9,0.7,26.1,85.5,1,0,coastal
Mumbai Suburban,2019-06-10,24,2019,6,111.72,42.54,26.6,92.8,1,0,coastal
Mumbai Suburban,2019-06-17,25,2019,6,108.41,38.33,27.3,85.5,1,0,coastal
Mumbai Suburban,2019-06-24,26,2019,6,89.98,14.84,24.1,80.4,1,0,coastal
Mumbai Suburban,2019-07-01,27,2019,7,4.16,-97.29,26.5,94.4,1,0,coastal
Mumbai Suburban,2019-07-08,28,2019,7,211.23,34.31,26.0,94.8,1,0,coastal
Mumbai Suburban,2019-07-15,29,2019,7,163.07,3.7,28.6,79.9,1,0,coastal
Mumbai Suburban,2019-07-22,30,2019,7,177.99,13.19,25.6,87.4,1,0,coastal
Mumbai Suburban,2019-07-29,31,2019,7,76.19,-51.52,26.0,92.6,1,0,coastal
Mumbai Suburban,2019-08-05,32,2019,8,188.6,30.95,27.6,87.4,1,0,coastal
Mumbai Suburban,2019-08-12,33,2019,8,131.18,-8.9,26.7,90.1,1,0,coastal
Mumbai Suburban,2019-08-19,34,2019,8,189.77,31.76,25.1,88.6,1,0,coastal
Mumbai Suburban,2019-08-26,35,2019,8,180.02,25.0,26.2,90.7,1,0,coastal
Mumbai Suburban,2019-09-02,36,2019,9,80.04,-26.71,27.2,74.5,1,0,coastal
Mumbai Suburban,2019-09-09,37,2019,9,101.93,-6.69,26.0,94.7,1,0,coastal
Mumbai Suburban,2019-09-16,38,2019,9,109.45,0.19,25.6,93.0,1,0,coastal
Mumbai Suburban,2019-09-23,39,2019,9,124.37,13.83,27.2,84.7,1,0,coastal
Mumbai Suburban,2019-09-30,40,2019,9,176.22,61.26,26.5,86.5,1,0,coastal
Mumbai Suburban,2019-10-07,41,2019,10,43.04,25.74,27.1,76.8,0,0,coastal
Mumbai Suburban,2019-10-14,42,2019,10,51.51,50.44,26.8,59.8,0,0,coastal
Mumbai Suburban,2019-10-21,43,2019,10,25.58,-25.16,26.5,74.1,0,0,coastal
Mumbai Suburban,2019-10-28,44,2019,10,54.63,59.53,27.1,57.6,0,0,coastal
