district,week,week_of_year,year,month,cholera_cases,typhoid_cases,add_cases,total_wb_cases,latitude,longitude,rainfall_mm,rainfall_anomaly_pct,temperature_c,humidity_pct,monsoon_flag,flood_alert,region,sanitation_coverage_pct,od_index,water_access_pct,population_density,urban_pct,wash_index,wash_risk_category,population_2024
Mumbai City,23-09-2019,39,2019,9,1,3,69,77,18.94,72.835,108.23,9.22,27.8,88.8,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,30-09-2019,40,2019,9,4,2,65,75,18.94,72.835,78.78,-20.48,28,92.2,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,07-10-2019,41,2019,10,2,8,21,35,18.94,72.835,39.77,28.08,26.8,61,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,14-10-2019,42,2019,10,1,0,28,32,18.94,72.835,35.19,13.38,25.7,67.5,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,21-10-2019,43,2019,10,0,4,25,32,18.94,72.835,42.43,36.64,27.8,65.8,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,28-10-2019,44,2019,10,2,2,29,34,18.94,72.835,40.24,29.61,26.1,59.2,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,04-11-2019,45,2019,11,0,2,26,30,18.94,72.835,8.14,-9.53,26.6,63.6,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,11-11-2019,46,2019,11,0,3,37,41,18.94,72.835,5.18,-42.09,25.7,63.4,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,18-11-2019,47,2019,11,2,2,20,25,18.94,72.835,9.56,6.01,26.3,75.4,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,25-11-2019,48,2019,11,1,4,22,28,18.94,72.835,6.53,-27.26,27.6,65.5,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,02-12-2019,49,2019,12,0,1,19,22,18.94,72.835,3.03,48.7,25.5,65.2,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,09-12-2019,50,2019,12,0,2,11,15,18.94,72.835,2.55,25.99,23.3,62.5,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,16-12-2019,51,2019,12,0,3,19,22,18.94,72.835,2.41,19.21,23.4,65.3,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,23-12-2019,52,2019,12,0,4,19,24,18.94,72.835,1.63,-17.81,25.5,67.4,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,30-12-2019,1,2019,12,0,0,17,18,18.94,72.835,3.17,55.76,25.4,59.5,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,06-01-2020,2,2020,1,2,2,20,26,18.94,72.835,1.74,-29.29,22.5,66.9,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,13-01-2020,3,2020,1,0,3,16,20,18.94,72.835,1.82,-26.41,24.1,64.2,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,20-01-2020,4,2020,1,0,1,15,16,18.94,72.835,1.1,-53.91,24.4,69.3,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,27-01-2020,5,2020,1,1,2,24,28,18.94,72.835,1.6,-34.83,23.7,68.6,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,03-02-2020,6,2020,2,1,3,17,22,18.94,72.835,0.95,-34.36,22.9,67.2,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,10-02-2020,7,2020,2,0,3,19,22,18.94,72.835,1.84,21.08,23.2,61.2,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,17-02-2020,8,2020,2,0,1,24,29,18.94,72.835,1.48,-1.26,22.5,64.5,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,24-02-2020,9,2020,2,0,4,28,32,18.94,72.835,0.76,-46.22,21.9,67.9,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,02-03-2020,10,2020,3,1,3,14,21,18.94,72.835,1.95,-2.51,23.6,60.8,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,09-03-2020,11,2020,3,1,3,17,22,18.94,72.835,2.64,30.48,24.6,75.7,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,16-03-2020,12,2020,3,1,3,28,33,18.94,72.835,1.21,-37.61,22.4,66.8,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,23-03-2020,13,2020,3,1,3,17,22,18.94,72.835,1.69,-14.87,23.8,59.6,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,30-03-2020,14,2020,3,1,3,25,31,18.94,72.835,1.8,-9.61,23.3,60.2,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,06-04-2020,15,2020,4,0,6,37,45,18.94,72.835,2.05,-30.86,23.2,39.7,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,13-04-2020,16,2020,4,1,1,36,40,18.94,72.835,2.57,-13.81,24.8,41.4,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,20-04-2020,17,2020,4,2,7,36,46,18.94,72.835,2.07,-29.98,23.7,37.8,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,27-04-2020,18,2020,4,1,0,32,36,18.94,72.835,1.5,-48.35,22.4,38,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,04-05-2020,19,2020,5,2,2,35,42,18.94,72.835,5.79,-3.59,25.4,28.7,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,11-05-2020,20,2020,5,0,4,35,39,18.94,72.835,6.45,7.28,25.2,38.8,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,18-05-2020,21,2020,5,1,3,35,39,18.94,72.835,6.5,8.03,24.8,28.5,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,25-05-2020,22,2020,5,2,4,33,41,18.94,72.835,6.22,3.48,26.3,36.6,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,01-06-2020,23,2020,6,2,1,62,65,18.94,72.835,62.76,-11.67,27.6,99,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,08-06-2020,24,2020,6,2,1,62,69,18.94,72.835,105.26,48.05,26.8,91.9,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,15-06-2020,25,2020,6,1,1,71,77,18.94,72.835,57.41,-19.18,23.9,95.7,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,22-06-2020,26,2020,6,2,5,79,88,18.94,72.835,46.01,-35.2,24.9,93.3,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,29-06-2020,27,2020,6,2,4,60,67,18.94,72.835,122.74,72.61,27.1,86.9,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,06-07-2020,28,2020,7,2,3,80,88,18.94,72.835,179.73,25.99,27.3,81.5,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,13-07-2020,29,2020,7,2,2,71,77,18.94,72.835,76.08,-46.63,26.3,89.9,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,20-07-2020,30,2020,7,2,4,62,70,18.94,72.835,166.91,17.01,26.4,93.2,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,27-07-2020,31,2020,7,1,3,67,75,18.94,72.835,198.63,39.23,26.7,80.9,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,03-08-2020,32,2020,8,0,4,70,79,18.94,72.835,149.38,14.35,29.2,85.7,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,10-08-2020,33,2020,8,3,5,73,88,18.94,72.835,192.97,47.7,26.3,87.3,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,17-08-2020,34,2020,8,2,2,74,81,18.94,72.835,173.14,32.52,26.7,81.1,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,24-08-2020,35,2020,8,3,1,80,94,18.94,72.835,147.89,13.21,25.5,92.7,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,31-08-2020,36,2020,8,2,2,63,67,18.94,72.835,151.97,16.34,28.8,83.6,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,07-09-2020,37,2020,9,4,4,86,96,18.94,72.835,58.01,-41.42,26.9,85.9,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,14-09-2020,38,2020,9,4,2,76,87,18.94,72.835,31.98,-67.66,26.5,88.2,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,21-09-2020,39,2020,9,2,3,71,78,18.94,72.835,105.87,6.83,27.1,87,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,28-09-2020,40,2020,9,6,4,54,66,18.94,72.835,142.78,44.04,26.4,84.9,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,05-10-2020,41,2020,10,1,4,30,41,18.94,72.835,25.41,-18.05,27.1,62.6,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,12-10-2020,42,2020,10,0,2,33,37,18.94,72.835,33.39,7.58,27.1,61.8,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,19-10-2020,43,2020,10,2,0,24,29,18.94,72.835,22.44,-27.59,28.7,65.6,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,26-10-2020,44,2020,10,2,4,37,45,18.94,72.835,0,-99.68,25.6,68,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,02-11-2020,45,2020,11,0,1,29,31,18.94,72.835,7.86,-12.58,25.8,68.6,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,09-11-2020,46,2020,11,4,1,27,34,18.94,72.835,5.49,-38.59,26,64.1,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,16-11-2020,47,2020,11,2,3,18,26,18.94,72.835,8.74,-2.99,25.4,63.4,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,23-11-2020,48,2020,11,2,2,35,40,18.94,72.835,9.47,5.06,24.7,62.1,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,30-11-2020,49,2020,11,1,3,34,42,18.94,72.835,13.04,44.23,26.5,69.4,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,07-12-2020,50,2020,12,0,4,14,19,18.94,72.835,1.82,-8.82,25.2,60.9,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,14-12-2020,51,2020,12,0,0,21,23,18.94,72.835,1.97,-1.6,25.3,69.2,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,21-12-2020,52,2020,12,0,0,18,20,18.94,72.835,1.6,-19.34,25,78.3,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,28-12-2020,53,2020,12,2,1,14,20,18.94,72.835,1.81,-9.19,24,67.7,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,04-01-2021,1,2021,1,0,1,18,19,18.94,72.835,3.24,28.29,23,67.1,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,11-01-2021,2,2021,1,0,1,22,24,18.94,72.835,3.99,57.25,23.2,71.3,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,18-01-2021,3,2021,1,0,2,28,35,18.94,72.835,2.54,1.47,23.1,65.7,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,25-01-2021,4,2021,1,1,5,23,29,18.94,72.835,3.74,47.73,25,66.6,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,01-02-2021,5,2021,2,0,2,15,20,18.94,72.835,1.27,-14.69,21.9,63.3,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,08-02-2021,6,2021,2,0,4,11,16,18.94,72.835,2.15,40.37,22.5,69.9,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,15-02-2021,7,2021,2,2,2,25,32,18.94,72.835,2.86,84.76,21.9,65.3,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,22-02-2021,8,2021,2,1,3,21,26,18.94,72.835,2.17,41.66,24,66.1,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,01-03-2021,9,2021,3,2,2,25,31,18.94,72.835,2.4,19.08,22.2,63,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,08-03-2021,10,2021,3,0,2,16,20,18.94,72.835,2.91,43.14,25.7,59.4,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,15-03-2021,11,2021,3,1,1,15,19,18.94,72.835,3.36,64.85,25.2,66,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,22-03-2021,12,2021,3,0,2,15,22,18.94,72.835,1.93,-3.36,25.7,64.6,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,29-03-2021,13,2021,3,1,1,28,30,18.94,72.835,2.81,38.68,23.1,57.8,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,05-04-2021,14,2021,4,2,2,38,44,18.94,72.835,4.43,46.01,25.5,37.3,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,12-04-2021,15,2021,4,1,1,39,43,18.94,72.835,2.6,-13.02,25.9,38.6,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,19-04-2021,16,2021,4,1,9,39,51,18.94,72.835,6.34,107.43,24.7,26.5,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,26-04-2021,17,2021,4,1,5,41,50,18.94,72.835,3.26,8.38,24.5,35.6,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,03-05-2021,18,2021,5,4,3,32,41,18.94,72.835,8.85,46.65,25.2,40.3,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,10-05-2021,19,2021,5,1,2,37,42,18.94,72.835,7.45,23.72,23.3,34.8,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,17-05-2021,20,2021,5,2,1,33,40,18.94,72.835,6.14,2.13,26,40.2,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,24-05-2021,21,2021,5,2,1,33,37,18.94,72.835,4.98,-16.74,25.6,43.2,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,31-05-2021,22,2021,5,0,6,34,41,18.94,72.835,6.63,10.28,25.1,44.3,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,07-06-2021,23,2021,6,1,3,77,86,18.94,72.835,100.57,41.46,28.2,84.6,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,14-06-2021,24,2021,6,2,5,77,86,18.94,72.835,77.58,9.15,25.3,90.6,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,21-06-2021,25,2021,6,1,3,71,78,18.94,72.835,71.03,-0.05,25.4,88.7,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,28-06-2021,26,2021,6,1,5,56,63,18.94,72.835,96.64,35.94,26.4,88.6,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,05-07-2021,27,2021,7,0,3,65,68,18.94,72.835,254.49,78.37,28.1,87.8,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,12-07-2021,28,2021,7,2,5,70,77,18.94,72.835,208.57,46.19,27.9,89.6,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,19-07-2021,29,2021,7,2,3,67,76,18.94,72.835,138.97,-2.57,24.7,97.1,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,26-07-2021,30,2021,7,3,3,75,83,18.94,72.835,178.78,25.32,27.4,83.6,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,02-08-2021,31,2021,8,1,3,64,74,18.94,72.835,151.46,15.94,26,83,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,09-08-2021,32,2021,8,2,6,66,78,18.94,72.835,177.07,35.53,27.4,88.6,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,16-08-2021,33,2021,8,5,3,53,65,18.94,72.835,166.55,27.48,27.6,74.4,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,23-08-2021,34,2021,8,2,4,68,78,18.94,72.835,198.15,51.66,29.7,80.6,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,30-08-2021,35,2021,8,1,2,77,83,18.94,72.835,74.71,-42.77,25,93,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,06-09-2021,36,2021,9,2,5,67,76,18.94,72.835,81.98,-17.25,27.1,90.5,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,13-09-2021,37,2021,9,2,5,70,79,18.94,72.835,116.74,17.79,26.3,86.4,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,20-09-2021,38,2021,9,3,7,67,79,18.94,72.835,77.69,-21.57,27.8,93.5,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,27-09-2021,39,2021,9,5,4,48,58,18.94,72.835,129.96,31.12,25.8,87.7,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,04-10-2021,40,2021,10,0,3,25,29,18.94,72.835,36.29,16.89,25.7,65.1,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,11-10-2021,41,2021,10,0,1,32,33,18.94,72.835,35.37,13.95,27.8,60.4,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,18-10-2021,42,2021,10,0,4,22,30,18.94,72.835,36.08,16.24,25.4,64.7,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,25-10-2021,43,2021,10,2,6,25,34,18.94,72.835,41.25,32.85,26.1,69.4,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,01-11-2021,44,2021,11,1,3,30,38,18.94,72.835,16.42,81.35,21.9,69.4,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,08-11-2021,45,2021,11,1,4,38,44,18.94,72.835,11.02,22.1,25.8,63.7,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,15-11-2021,46,2021,11,2,5,24,35,18.94,72.835,13.09,44.8,25.9,69,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,22-11-2021,47,2021,11,1,3,26,31,18.94,72.835,11.22,24.24,26.5,68.9,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,29-11-2021,48,2021,11,2,3,32,40,18.94,72.835,10.77,19.32,26.7,67.5,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
